id,name,description,image,location,stage,industry,subindustry,website
0,ABOVE POTENTIAL,"Accountability Coach for entrepreneurs, creatives and executives to activate their untapped potential and stop procrastination.
Stop Procrastinating. Start Producing. Double Productivity.",https://res.cloudinary.com/sblink/w_64/f5ttbnhdhjzcsofeuwva,"London, United Kingdom",Idea/MVP/Beta,Social & Leisure,Communities,https://www.abovepotential.com/
4,Rover,"Whether you need in-home dog boarding, pet sitting, dog walking, or day care, Rover connects pet parents with pet care providers who&rsquo;ll treat their pets like family.",https://res.cloudinary.com/crunchbase-production/image/upload/v1473108712/eppdxefpeu3t9qasedl1.jpg,"London, United Kingdom",Idea/MVP/Beta,Software and Data,Apps,https://www.rover.com/uk/
5,MillTechFX by Millennium Global,"MillTechFX by Millennium Global is the FinTech affiliate of Millennium Global Investments, one of the largest specialist currency managers established in 1994. Our independent multi-bank currency solution helps 
Businesses significantly reduce FX costs.",https://res.cloudinary.com/sblink/w_64/dxgtijdspyuofw3uzvp7,"London, United Kingdom",Idea/MVP/Beta,Fintech,Financial Services,https://milltechfx.com/
6,RankedRight,"RankedRight is the triage tool that automatically ranks vulnerabilities based on rules you set, factoring in what's critical to your business and delegating it to the most appropriate person to resolve. Spend less time on vulnerability admin &amp; more time keeping your company safe.",https://res.cloudinary.com/sblink/w_64/6c7f799c03f5fda4a4f5e1b7564a54f4,"London, United Kingdom",Idea/MVP/Beta,Software and Data,Cybersecurity,https://www.rankedright.com
8,IG Group,"IG empowers informed, decisive, adventurous people to access opportunities in financial markets. We&rsquo;re the No.1 provider of CFDs worldwide, with operations in 16 countries. We give investors leveraged access to over 16,000 financial markets through our award-winning dealing platform and mobile apps.",https://res.cloudinary.com/crunchbase-production/image/upload/v1474446925/wsauzvbqcylfelg0f2ae.png,"London, United Kingdom",Generating Revenues and Scaling,Fintech,Fintech-Other,https://www.iggroup.com/
9,telbee,"telbee adds voice messaging to websites, social media, podcasts, email and more to build human relationships with your customers, visitors and community. Save time, reduce frustration, and gain sales, understanding and fans",https://res.cloudinary.com/sblink/w_64/ssejv3mdymxdcfefnmbp,"London, United Kingdom",Idea/MVP/Beta,Software and Data,SaaS,https://www.telbee.io/
10,SEO Ranking Checker,SEO Ranking Checker helps to identify your SEO problems and optimize your web pages for a better search engine rankings.,https://res.cloudinary.com/sblink/w_64/stedkkdg8ng0f7rwzhba,"London, United Kingdom",Idea/MVP/Beta,Software and Data,Data Analytics,https://seorankingchecker.com
11,Tutorfair,"Find and book a local or online tutor with Tutorfair. Search for local tutors by subject, level and your postcode. Tutorfair will show you search results with the top rated tutors at the top.",https://res.cloudinary.com/sblink/w_64/6a5a9f76d677f4352486642ec7df9108,"London, United Kingdom",Generating Revenues and Scaling,Education,Edtech,https://www.tutorfair.com
12,Flutter,"Chrome extension for Tinder helping its users have better conversations with their matches. Lines, openers, conversation tips straight into Tinder web.",https://res.cloudinary.com/sblink/w_64/ugufo9l24uaxgpldyemu,"London, United Kingdom",Idea/MVP/Beta,Social & Leisure,Social Media,http://tipstips.tips
14,Heron Data,We categorise and label bank transaction data.,https://res.cloudinary.com/crunchbase-production/image/upload/zg6bwgcq6umuxj8klw4t,"London, United Kingdom",No information,Fintech,Fintech-Other,http://www.herondata.io
